E_app_corr,J_model_calculation1
1.0447226263102,2.22371331974634e-35
1.0347226263102,1.70045258836844e-35
1.0247226263102,2.60687412879266e-35
1.0147226263102,3.68073664132505e-35
1.0047226263102,5.38352224021572e-35
0.994722626310204,7.89648055882002e-35
0.984722626310204,1.16230137918758e-34
0.974722626310204,1.7131559988923e-34
0.964722626310204,2.52703898783235e-34
0.954722626310204,3.72910259847359e-34
0.944722626310204,5.50422218471547e-34
0.934722626310204,8.12538133616164e-34
0.924722626310204,1.1995656048533e-33
0.914722626310204,1.77101920916939e-33
0.904722626310204,2.61477196106742e-33
0.894722626310204,3.86056731999431e-33
0.884722626310204,5.69996952519671e-33
0.874722626310204,8.41581994504813e-33
0.864722626310204,1.24257288717755e-32
0.854722626310204,1.83462903831504e-32
0.844722626310204,2.70878944295871e-32
0.834722626310204,3.99947151649335e-32
0.824722626310204,5.90514011824902e-32
0.814722626310204,8.71882499071253e-32
0.804722626310204,1.287317920726e-31
0.794722626310204,1.90070071570889e-31
0.784722626310204,2.80634919182753e-31
0.774722626310204,4.14352262093315e-31
0.764722626310204,6.11783479907117e-31
0.754722626310204,9.032870785116e-31
0.744722626310204,1.33368684515599e-30
0.734722626310204,1.96916429631726e-30
0.724722626310204,2.90743525464327e-30
0.714722626310204,4.29277538451408e-30
0.704722626310204,6.33820512977122e-30
0.694722626310204,9.35824538326036e-30
0.684722626310204,1.38172806567595e-29
0.674722626310204,2.04009664529601e-29
0.664722626310204,3.01216610006256e-29
0.654722626310204,4.44740933707084e-29
0.644722626310204,6.56652047395121e-29
0.634722626310204,9.69535050209148e-29
0.624722626310204,1.43150127053264e-28
0.614722626310204,2.11358624450041e-28
0.604722626310204,3.12067270368108e-28
0.594722626310204,4.60761817864605e-28
0.584722626310204,6.80306712903791e-28
0.574722626310204,1.00446091463419e-27
0.564722626310204,1.48306894405283e-27
0.554722626310204,2.18972537905139e-27
0.544722626310204,3.23309135130186e-27
0.534722626310204,4.77360316241388e-27
0.524722626310204,7.04814227374076e-27
0.514722626310204,1.04064601312465e-26
0.504722626310204,1.53649588080717e-26
0.494722626310204,2.26860972232787e-26
0.484722626310204,3.34956330991056e-26
0.474722626310204,4.94557287596758e-26
0.464722626310204,7.30205389710718e-26
0.454722626310204,1.07813582158951e-25
0.444722626310204,1.59184922787017e-25
0.434722626310204,2.35033841976411e-25
0.424722626310204,3.47023497184743e-25
0.414722626310204,5.12374347369258e-25
0.404722626310204,7.5651211600982e-25
0.394722626310204,1.11697746549689e-24
0.384722626310204,1.64919856803515e-24
0.374722626310204,2.43501421338079e-24
0.364722626310204,3.59525804026268e-24
0.354722626310204,5.30833895211813e-24
0.344722626310204,7.83767480392187e-24
0.334722626310204,1.1572197803321e-23
0.324722626310204,1.70861600921087e-23
0.314722626310204,2.52274357401502e-23
0.304722626310204,3.7247897245861e-23
0.294722626310204,5.49959143889902e-23
0.284722626310204,8.12005757688027e-23
0.274722626310204,1.1989133746695e-22
0.264722626310204,1.77017627764801e-22
0.254722626310204,2.6136368390044e-22
0.244722626310204,3.85899294399557e-22
0.234722626310204,5.69774149330371e-22
0.224722626310204,8.41262467853414e-22
0.214722626310204,1.24211069579058e-21
0.204722626310204,1.8339568148683e-21
0.194722626310204,2.70780835544362e-21
0.184722626310204,3.99803653901524e-21
0.174722626310204,5.90303841900227e-21
0.164722626310204,8.71574422170844e-21
0.154722626310204,1.28686609795954e-20
0.144722626310204,1.90003787856585e-20
0.134722626310204,2.80537662926751e-20
0.124722626310204,4.14209549186889e-20
0.114722626310204,6.11574058959568e-20
0.104722626310204,9.02979771364514e-20
0.0947226263102036,1.33323591352554e-19
0.0847226263102036,1.96850264767926e-19
0.0747226263102035,2.90646448054554e-19
0.0647226263102035,4.29135115597845e-19
0.0547226263102035,6.33611578788063e-19
0.0447226263102035,9.35518055741795e-19
0.0347226263102035,1.3812785270371e-18
0.0247226263102035,2.03943733194062e-18
0.0147226263102035,3.01119920541466e-18
0.00472262631020348,4.44599149534079e-18
-0.00527737368979653,6.5644415596585e-18
-0.0152773736897965,9.69230257501125e-18
-0.0252773736897965,1.431054452568e-17
-0.0352773736897966,2.11293128620648e-17
-0.0452773736897966,3.11971274509639e-17
-0.0552773736897966,4.6062113344207e-17
-0.0652773736897966,6.80100558322776e-17
-0.0752773736897966,1.00415885535434e-16
-0.0852773736897966,1.48262641448044e-16
-0.0952773736897966,2.18907712983473e-16
-0.105277373689797,3.23214186237692e-16
-0.115277373689797,4.77221261896069e-16
-0.125277373689797,7.04610605473143e-16
-0.135277373689797,1.04034788160479e-15
-0.145277373689797,1.53606085686013e-15
-0.155277373689797,2.26798083676804e-15
-0.165277373689797,3.34863511148578e-15
-0.175277373689797,4.94421346612566e-15
-0.185277373689797,7.30006236303914e-15
-0.195277373689797,1.07782206628439e-14
-0.205277373689797,1.59141372564499e-14
-0.215277373689797,2.34968284674834e-14
-0.225277373689797,3.46928607386488e-14
-0.235277373689797,5.12235515842439e-14
-0.245277373689797,7.56309201707064e-14
